Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
62	introduced	5834	35454	198469	1158132	524764	3059562	30064297	183739688	16527779	100343580
62	native	11914	34522	398438	1139046	1116356	3008094	65135430	178175804	35260698	97225752
63	introduced	5869	35650	199282	1161738	527400	3077400	30101534	183912916	16525647	100229758
63	native	12013	34748	399919	1142662	1123595	3025398	65215496	178348714	35227413	97117628
64	introduced	5841	35716	198874	1161378	525882	3070438	30070745	183900642	16524330	100377316
64	native	11968	34786	399539	1142268	1120330	3018556	65200312	178339354	35274621	97260780
65	introduced	5862	35500	198525	1157750	525265	3066460	30126077	184155294	16577440	100629510
65	native	11903	34584	398882	1138868	1120341	3014622	65335905	178595074	35379588	97510398
66	introduced	5863	35670	200059	1167894	529694	3093608	30316166	185416008	16661393	101208352
66	native	11996	34738	401959	1148652	1129659	3041252	65750584	179807440	35570487	98067088
67	introduced	5874	35704	198660	1161302	526622	3078730	30086722	184201246	16496206	100333946
67	native	12027	34794	400003	1142158	1123840	3026620	65331193	178630824	35274282	97220544
68	introduced	5894	35754	199304	1162414	527394	3077554	30077462	183900920	16514707	100286144
68	native	12020	34826	399977	1143312	1123214	3025818	65217890	178346290	35255072	97176004
69	introduced	5875	35756	199771	1166006	528718	3087320	30076349	183917956	16509898	100245576
69	native	12027	34836	401188	1146790	1126885	3035048	65213688	178355534	35232073	97133926
6	introduced	5839	35572	198523	1156252	526085	3071012	30126153	184117042	16592096	100709706
6	native	11920	34652	396733	1137218	1118499	3019248	65168447	178550066	35344318	97583124
70	introduced	5906	35850	199418	1163886	527642	3082952	30044534	183810538	16462310	100002778
70	native	12070	34918	400526	1144770	1125125	3030962	65167869	178251708	35144550	96897934
71	introduced	5868	35658	199311	1164858	527370	3081182	30038870	183865410	16519030	100439112
71	native	11993	34744	400924	1145748	1125019	3029204	65208893	178311120	35307156	97323420
72	introduced	5895	35830	199649	1166062	528629	3086800	30229023	184961024	16612860	100933794
72	native	12044	34910	401337	1147052	1126907	3035016	65583374	179372974	35474473	97802148
73	introduced	5887	35794	199139	1164910	526311	3079996	30049639	184122316	16511570	100436854
73	native	12037	34862	400933	1145688	1124278	3028094	65285265	178553858	35299034	97318336
74	introduced	5888	35806	199421	1165240	527702	3083144	30040107	183902646	16506507	100355504
74	native	12027	34884	401157	1146038	1124876	3030868	65208612	178331264	35269337	97233926
75	introduced	5890	35782	199266	1162752	527488	3079294	30050618	183888378	16520976	100379864
75	native	12021	34856	400142	1143704	1124065	3027264	65196093	178327372	35275113	97264772
76	introduced	5857	35602	198698	1158270	525700	3065666	30068177	183766908	16547674	100491520
76	native	11924	34678	398400	1139362	1118675	3013992	65141846	178209904	35311653	97372040
77	introduced	5887	35720	199420	1163062	526375	3073740	30084986	183962398	16540472	100456706
77	native	12022	34812	400180	1143964	1121803	3021688	65218318	178417512	35298290	97347966
78	introduced	5877	35704	199432	1164456	529038	3088174	30324590	185473858	16665556	101240178
78	native	11996	34784	400700	1145314	1127280	3036262	65758796	179869414	35578544	98099212
79	introduced	5845	35652	199307	1164054	526973	3080676	30060968	184088766	16501310	100365864
79	native	11969	34728	400389	1144888	1124744	3028726	65276128	178535546	35274557	97258148
7	introduced	5862	35486	199182	1161166	527639	3075118	30152434	184110550	16565077	100477604
7	native	11868	34560	398576	1142070	1120808	3023254	65157297	178545964	35246286	97359920
80	introduced	5877	35802	199266	1161974	527627	3078096	30098739	183840070	16535929	100277968
80	native	12051	34864	400171	1142936	1123811	3026150	65187710	178289792	35240862	97170500
81	introduced	5908	35774	199072	1162332	528092	3083016	30091523	183916534	16492506	100125982
81	native	12019	34842	399941	1143250	1125224	3031360	65193614	178350342	35177303	97014902
82	introduced	5898	35720	199834	1166768	528862	3087898	30075950	183911308	16496209	100177340
82	native	12031	34786	401666	1147598	1127065	3035804	65225414	178362980	35216100	97077788
83	introduced	5891	35824	199811	1166674	528943	3091388	30205756	184881902	16587585	100853032
83	native	12030	34894	401376	1147438	1128339	3039104	65551367	179287618	35441129	97720760
84	introduced	5845	35496	196955	1152208	522553	3058430	30089553	184230826	16544578	100599360
84	native	11909	34594	396499	1133040	1116477	3006626	65315256	178650438	35351176	97470054
85	introduced	5890	35672	198516	1159494	527493	3079944	30084626	183862078	16551471	100460180
85	native	11981	34762	398688	1140558	1124006	3027956	65197393	178302800	35307324	97341394
86	introduced	5869	35742	199731	1165844	528230	3085194	30047398	183840906	16527610	100404876
86	native	12037	34844	401273	1146632	1126178	3033030	65181350	178283910	35285769	97290024
87	introduced	5886	35782	198523	1160600	525010	3071984	30053308	183965884	16547997	100540526
87	native	12020	34858	399594	1141502	1121420	3020044	65257560	178411502	35345138	97425410
88	introduced	5910	35886	200514	1171006	530961	3101086	30310115	185440754	16651684	101176874
88	native	12061	34956	402855	1151738	1131688	3048664	65745698	179831448	35557529	98035574
89	introduced	5844	35556	198503	1159610	524831	3067508	30111559	184347358	16540812	100581650
89	native	11965	34658	399223	1140628	1119995	3015894	65355068	178782722	35344642	97465378
8	introduced	5866	35588	199759	1164774	528674	3083584	30154876	184060046	16565216	100395124
8	native	11962	34674	400329	1145700	1124294	3031664	65160805	178506188	35224956	97286194
90	introduced	5816	35270	198335	1157344	522717	3052378	30067965	183848038	16547781	100523616
90	native	11866	34378	398502	1138390	1114929	3001222	65181772	178298934	35327389	97407578
91	introduced	5531	34234	191607	1126372	515623	3024472	30023205	183953454	16499179	100400344
91	native	11591	33352	387933	1107942	1104163	2973232	65225994	178385524	35284091	97283602
92	introduced	5718	34964	195464	1143108	518364	3030142	30107589	184359420	16540131	100621054
