Jackknife	Sample	MODIFIER	Total_Alleles
22	SH2514	71622	93553
22	NF24	71572	92456
22	WB13	31364	95283
22	CW2212	41988	91932
22	SH2515	71812	93338
22	VR14	40166	92623
22	DN26	32573	92944
22	BU1031	43391	89688
22	VT27	71882	93956
22	CW2214	48368	95065
22	BU04	44978	91919
22	GC30	65228	89701
22	DL2524	70168	89919
22	VT29	67600	88368
22	DL23523	72713	93019
22	PZ29	35632	95041
22	LI04	20612	93952
22	WE2430	35962	95356
22	WS04	72942	93767
22	WE2431	36264	94600
22	WS05	72333	92720
22	BB10	67611	88563
22	VG21	69334	91680
22	CE29	72164	95302
22	CA14	64404	89145
22	FC11	21255	95391
22	MM27	66533	91566
22	NF30	69837	90369
22	MI21	34408	95881
22	FU14	65078	91110
22	BB13	67295	87796
22	WB20	28215	94144
23	SH2514	71633	93631
23	NF24	71590	92527
23	WB13	31352	95372
23	CW2212	41986	92005
23	SH2515	71787	93402
23	VR14	40163	92713
23	DN26	32542	93017
23	BU1031	43417	89778
23	VT27	71949	94032
23	CW2214	48435	95149
23	BU04	44985	92013
23	GC30	65292	89780
23	DL2524	70205	89993
23	VT29	67665	88426
23	DL23523	72762	93105
23	PZ29	35623	95113
23	LI04	20587	94022
23	WE2430	35959	95421
23	WS04	72970	93844
23	WE2431	36240	94675
23	WS05	72379	92800
23	BB10	67717	88635
23	VG21	69365	91773
23	CE29	72159	95376
23	CA14	64461	89209
23	FC11	21261	95470
23	MM27	66581	91643
23	NF30	69871	90451
23	MI21	34373	95963
23	FU14	65095	91164
23	BB13	67345	87867
23	WB20	28164	94224
24	SH2514	71751	93664
24	NF24	71624	92547
24	WB13	31373	95375
24	CW2212	42020	92031
24	SH2515	71885	93409
24	VR14	40180	92738
24	DN26	32655	93034
24	BU1031	43386	89770
24	VT27	71980	94049
24	CW2214	48407	95153
24	BU04	44976	92039
24	GC30	65346	89805
24	DL2524	70183	90003
24	VT29	67680	88435
24	DL23523	72791	93122
24	PZ29	35632	95148
24	LI04	20621	94046
24	WE2430	36023	95460
24	WS04	73041	93860
24	WE2431	36251	94691
24	WS05	72444	92813
24	BB10	67775	88674
24	VG21	69423	91804
24	CE29	72230	95396
24	CA14	64500	89239
24	FC11	21242	95494
24	MM27	66614	91660
24	NF30	69922	90470
24	MI21	34429	95984
24	FU14	65132	91181
24	BB13	67378	87881
24	WB20	28141	94240
25	SH2514	71644	93583
25	NF24	71527	92491
25	WB13	31301	95309
25	CW2212	41989	91967
25	SH2515	71809	93374
25	VR14	40168	92665
25	DN26	32618	92972
25	BU1031	43345	89723
25	VT27	71889	93974
25	CW2214	48372	95095
25	BU04	44923	91977
25	GC30	65211	89725
25	DL2524	70133	89952
25	VT29	67609	88394
25	DL23523	72682	93059
25	PZ29	35612	95079
25	LI04	20638	93972
25	WE2430	35952	95396
25	WS04	72963	93788
25	WE2431	36205	94615
25	WS05	72306	92763
25	BB10	67618	88580
25	VG21	69302	91709
25	CE29	72124	95331
25	CA14	64383	89170
25	FC11	21295	95426
25	MM27	66516	91594
25	NF30	69797	90409
25	MI21	34344	95911
25	FU14	65043	91114
25	BB13	67253	87836
25	WB20	28132	94177
26	SH2514	71689	93658
26	NF24	71595	92550
26	WB13	31346	95377
26	CW2212	42029	92039
26	SH2515	71871	93420
26	VR14	40194	92744
26	DN26	32625	93046
26	BU1031	43418	89807
